date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:45	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-13634da87d9e23f8c3ed9108ce1724d183a39ad072e73e1b3d8cbf646d2d0407.eot?	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-13634da87d9e23f8c3ed9108ce1724d183a39ad072e73e1b3d8cbf646d2d0407d41d.eot	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:46	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:47	23424/23424	---MCZ	200	added ('OK')	application/font-woff	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-a26394f7ede100ca118eff2eda08596275a9839b959c226e15439557a5a80742.woff	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-a26394f7ede100ca118eff2eda08596275a9839b959c226e15439557a5a80742.woff	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:48	45404/45404	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-e395044093757d82afcb138957d06a1ea9361bdcf0b442d06a18a8051af57456.ttf	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-e395044093757d82afcb138957d06a1ea9361bdcf0b442d06a18a8051af57456.ttf	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:49	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-42f60659d265c1a3c30f9fa42abcbb56bd4a53af4d83d316d6dd7a36903c43e5.svg	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/bootstrap/glyphicons-halflings-regular-42f60659d265c1a3c30f9fa42abcbb56bd4a53af4d83d316d6dd7a36903c43e5.svg	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:49	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:34:55%20GMT	https://connectmed.co.ke/images/patterns/header-profile.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/images/patterns/header-profile.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:34:50	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:34:56%20GMT	https://connectmed.co.ke/images/patterns/shattered.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/images/patterns/shattered.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:36:44	408869/408869	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings/header11-465f2f28bd08909691b7b93d9b9c6cd8fd6ca538422cbd5845a8f8d30949feea.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings/header11-465f2f28bd08909691b7b93d9b9c6cd8fd6ca538422cbd5845a8f8d30949feea.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:13	89439/89439	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings/word_map-20e178bf1c443c7592ea3eeb44cb862e663419903f5d338f54a9a92a46605465.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings/word_map-20e178bf1c443c7592ea3eeb44cb862e663419903f5d338f54a9a92a46605465.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:17	362431/362431	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings/doctor_background2-f7428a63bcd4200126ddeb4a909b09cb3d57518e60ff6e32dafa6681d14f731b.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings/doctor_background2-f7428a63bcd4200126ddeb4a909b09cb3d57518e60ff6e32dafa6681d14f731b.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:18	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:37:23%20GMT	https://connectmed.co.ke/images/landings/clinic2pink.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/images/landings/clinic2pink.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:20	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:37:24%20GMT	https://connectmed.co.ke/assets/patterns/header-profile-skin-1.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/patterns/header-profile-skin-1.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:23	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:37:26%20GMT	https://connectmed.co.ke/assets/patterns/header-profile-skin-3.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/patterns/header-profile-skin-3.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:26	11889/11889	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2009:37:29%20GMT	https://connectmed.co.ke/assets/patterns/header-profile-skin-2.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/patterns/header-profile-skin-2.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:32	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/fontawesome-webfont-7bfcab6db99d5cfbf1705ca0536ddc78585432cc5fa41bbd7ad0f009033b2979.eot	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/fontawesome-webfont-7bfcab6db99d5cfbf1705ca0536ddc78585432cc5fa41bbd7ad0f009033b2979.eot	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:32	1123540/1123540	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings/clinic14-3cce5dd986906490fc503678461e159213a8ecb1c76a480d686b43ab3979d26a.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings/clinic14-3cce5dd986906490fc503678461e159213a8ecb1c76a480d686b43ab3979d26a.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:33	364847/364847	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/landings/africa_avatars10-1597e52f29d219e14f06db68f2b9bada1d6a2521eaecc8a042c7cd041086d3ba.png	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/landings/africa_avatars10-1597e52f29d219e14f06db68f2b9bada1d6a2521eaecc8a042c7cd041086d3ba.png	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:36	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/fontawesome-webfont-7bfcab6db99d5cfbf1705ca0536ddc78585432cc5fa41bbd7ad0f009033b2979.eot?	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/fontawesome-webfont-7bfcab6db99d5cfbf1705ca0536ddc78585432cc5fa41bbd7ad0f009033b2979d41d.eot	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:36	77160/77160	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:40	98024/98024	---MCZ	200	added ('OK')	application/font-woff	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/fontawesome-webfont-ba0c59deb5450f5cb41b3f93609ee2d0d995415877ddfa223e8a8a7533474f07.woff	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/fontawesome-webfont-ba0c59deb5450f5cb41b3f93609ee2d0d995415877ddfa223e8a8a7533474f07.woff	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
12:37:43	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Aug%202020%2008:27:48%20GMT	https://connectmed.co.ke/assets/fontawesome-webfont-ad6157926c1622ba4e1d03d478f1541368524bfc46f51e42fe0d945f7ef323e4.svg	C:/Users/THIS%20PC/Desktop/Doctors/connectmed.co.ke/assets/fontawesome-webfont-ad6157926c1622ba4e1d03d478f1541368524bfc46f51e42fe0d945f7ef323e4.svg	(from https://connectmed.co.ke/assets/application-c18a6126ca13fb46f829f0a393b19919123fe4e8a8857b65a9a1f5d92a66b16d.css)
